jud,uat,GEORGE SIMION,CRIN ANTONESCU,NICUȘOR DAN,VICTOR PONTA,Prezenta,Castigator,Procent castigator,Lat,Long,Mediu,Procent plecari din populatie (2023),Suprafata locuibila/cap de locuitor (m patrati) 2023,Numarul de salariati raportat la populatie (% din populatie) 2023,Cote de impozit raportat la populatie (2022),Fonduri pe cap de locuitor (2022),Pacienti la un medic 2023,Varsta medie a populatiei in 2023,Ponderea somerilor in 2023
BIHOR,LUGAȘU DE JOS,38.78,42.33,7.32,8.03,67.19,GEORGE-CRIN-LAURENȚIU ANTONESCU,42.33,47.08273353,22.3241263,RURAL,2.450188476,28.31987076,13.11254712,226.6976306,406.6981691,1857,35.77,5.2
BIHOR,LUNCA,35.43,40.48,7.14,13.8,64.44,GEORGE-CRIN-LAURENȚIU ANTONESCU,40.48,46.50618102,22.41342433,RURAL,1.398058252,26.38135922,12.34951456,217.1012756,0,1287.5,46.46,1.5
BIHOR,LĂZĂRENI,55.02,26.93,3.71,10.12,56.67,GEORGE-NICOLAE SIMION,55.02,46.85867038,22.05225577,RURAL,2.180232558,19.70145349,10.34883721,167.9364281,382.3426966,1720,34.07,5.6
BIHOR,MUNICIPIUL BEIUȘ,30.02,32.01,16.7,16.61,51.24,GEORGE-CRIN-LAURENȚIU ANTONESCU,32.01,46.67832742,22.35174126,URBAN,2.494587216,24.51990963,40.73237315,1213.115288,1150.551503,151.7571429,42.89,0.7
BIHOR,MUNICIPIUL MARGHITA,26.52,45.47,11.72,12.19,37.38,GEORGE-CRIN-LAURENȚIU ANTONESCU,45.47,47.38326108,22.3523869,URBAN,1.672121392,17.52168997,31.26450461,769.1811873,549.4678097,243.5507246,42.41,0.8
BIHOR,MUNICIPIUL ORADEA,23.34,36.2,23.11,12.23,47.86,GEORGE-CRIN-LAURENȚIU ANTONESCU,36.2,47.06663747,21.92072629,URBAN,2.066081522,23.3931437,45.24746105,1459.596986,405.4456736,109.187155,42.75,0.3
BIHOR,MUNICIPIUL SALONTA,24.63,50.16,9.66,10.71,40.95,GEORGE-CRIN-LAURENȚIU ANTONESCU,50.16,46.79712271,21.60890812,URBAN,1.287459596,17.47181285,30.84972333,821.3464127,464.5776077,299.2295082,43.43,0.4
BIHOR,MĂDĂRAS,44.09,26.6,8.93,14.79,47.96,GEORGE-NICOLAE SIMION,44.09,46.84672486,21.73449733,RURAL,2.241681261,23.58388792,37.16287215,774.4137199,1494.995757,2855,39.9,0.3
BIHOR,MĂGEȘTI,45.47,26.78,8.67,14.31,49.41,GEORGE-NICOLAE SIMION,45.47,46.99806281,22.44761623,RURAL,2.347959969,19.53926097,9.930715935,163.4105832,278.9926613,1299,41.73,3.1
BIHOR,NOJORID,41.12,24.51,17.08,12.6,52.86,GEORGE-NICOLAE SIMION,41.12,46.97120193,21.86657851,RURAL,1.976511028,27.69636207,27.01231739,586.5480125,456.5179396,2327.333333,37.29,0.4
